5
School_0 100
A-0045 2 N
B-0021 3 Y
C-0007 1 N
B-0048 2 Y
C-0087 4 N
A-0001 4 Y
B-0027 3 N
A-0095 1 N
C-0078 4 N
C-0099 3 Y
C-0098 3 Y
B-0019 1 Y
A-0058 4 Y
B-0097 1 Y
A-0046 1 N
C-0029 1 Y
A-0036 3 N
C-0073 4 N
A-0051 4 N
A-0057 1 N
B-0071 2 Y
A-0082 2 Y
A-0018 1 Y
A-0063 4 N
A-0005 4 N
A-0090 1 N
C-0065 4 N
B-0004 2 N
C-0079 3 Y
B-0032 2 N
A-0020 1 N
C-0089 3 Y
C-0022 3 Y
A-0071 4 N
A-0044 2 Y
C-0044 3 N
B-0080 3 N
A-0060 4 Y
C-0064 1 Y
C-0017 2 N
C-0034 4 N
B-0094 2 Y
B-0016 4 N
A-0007 2 Y
C-0045 3 Y
B-0046 3 Y
C-0003 4 N
C-0072 1 N
A-0080 3 Y
C-0004 3 Y
A-0075 2 Y
B-0003 2 Y
C-0050 4 N
B-0045 3 Y
B-0096 3 Y
B-0070 2 Y
C-0066 2 Y
C-0052 2 N
C-0039 2 Y
C-0075 2 N
C-0051 3 Y
A-0083 1 N
C-0013 3 Y
B-0092 2 N
A-0021 1 N
A-0098 3 N
A-0027 1 N
A-0077 4 Y
A-0040 2 N
B-0028 4 N
C-0030 4 N
B-0008 4 Y
C-0026 1 N
C-0008 3 Y
C-0067 1 N
A-0089 1 N
B-0049 4 N
B-0047 2 N
B-0013 1 Y
A-0088 3 N
A-0062 3 Y
B-0034 4 N
School_2 0
School_3 0
School_4 0
100
[2023-01-04] School_0-00000048 borrowed A-0052
[2023-01-07] School_1-00000003 borrowed A-0040
[2023-01-09] School_0-00000062 borrowed B-0054
[2023-01-10] School_1-00000059 borrowed B-0004
[2023-01-12] School_1-00000017 borrowed C-0000
[2023-01-13] School_1-00000039 borrowed A-0071
[2023-01-15] School_0-00000073 borrowed C-0064
[2023-01-16] School_0-00000001 borrowed C-0084
[2023-01-18] School_0-00000001 lost C-0084
[2023-01-18] School_1-00000029 borrowed C-0008
[2023-01-19] School_0-00000095 borrowed C-0060
[2023-01-21] School_0-00000035 borrowed C-0043
[2023-01-21] School_0-00000096 borrowed B-0052
[2023-01-21] School_0-00000083 borrowed C-0019
[2023-01-22] School_1-00000017 borrowed C-0045
[2023-01-22] School_0-00000039 borrowed A-0006
[2023-01-24] School_0-00000039 borrowed A-0025
[2023-01-25] School_0-00000075 borrowed B-0050
[2023-01-25] School_0-00000073 returned C-0064
[2023-01-27] School_1-00000065 borrowed C-0022
[2023-01-27] School_1-00000018 borrowed B-0046
[2023-01-28] School_1-00000047 borrowed C-0011
[2023-01-28] School_0-00000083 lost C-0019
[2023-01-29] School_0-00000023 borrowed B-0028
[2023-02-01] School_1-00000049 borrowed C-0034
[2023-02-01] School_1-00000018 borrowed B-0045
[2023-02-03] School_0-00000047 borrowed C-0034
[2023-02-04] School_0-00000004 borrowed C-0084
[2023-02-05] School_1-00000044 borrowed C-0008
[2023-02-06] School_0-00000050 borrowed C-0038
[2023-02-11] School_1-00000092 borrowed B-0094
[2023-02-11] School_0-00000028 borrowed C-0094
[2023-02-12] School_0-00000031 borrowed B-0084
[2023-02-12] School_1-00000019 borrowed C-0052
[2023-02-12] School_0-00000047 returned C-0034
[2023-02-14] School_1-00000074 borrowed C-0003
[2023-02-14] School_1-00000034 borrowed A-0071
[2023-02-16] School_0-00000095 returned C-0060
[2023-02-17] School_0-00000082 borrowed C-0088
[2023-02-19] School_1-00000023 borrowed C-0073
[2023-02-22] School_1-00000065 returned C-0022
[2023-02-22] School_0-00000094 borrowed A-0093
[2023-02-23] School_1-00000089 borrowed C-0051
[2023-02-24] School_1-00000074 smeared C-0003
[2023-02-24] School_0-00000024 borrowed A-0037
[2023-02-26] School_1-00000089 returned C-0051
[2023-02-27] School_0-00000059 borrowed B-0077
[2023-03-01] School_1-00000084 borrowed A-0077
[2023-03-01] School_0-00000023 lost B-0028
[2023-03-02] School_1-00000058 borrowed B-0041
[2023-03-02] School_0-00000070 borrowed C-0054
[2023-03-03] School_1-00000000 borrowed C-0047
[2023-03-03] School_0-00000084 borrowed A-0018
[2023-03-06] School_1-00000049 borrowed C-0015
[2023-03-08] School_0-00000001 borrowed B-0034
[2023-03-10] School_1-00000020 borrowed C-0066
[2023-03-12] School_0-00000051 borrowed B-0034
[2023-03-13] School_1-00000018 returned B-0046
[2023-03-14] School_0-00000060 borrowed C-0039
[2023-03-15] School_0-00000084 borrowed C-0003
[2023-03-19] School_1-00000009 borrowed A-0007
[2023-03-20] School_0-00000063 borrowed C-0038
[2023-03-21] School_0-00000014 borrowed B-0048
[2023-03-21] School_1-00000081 borrowed C-0096
[2023-03-25] School_0-00000082 smeared C-0088
[2023-03-25] School_1-00000095 borrowed B-0092
[2023-03-27] School_0-00000062 borrowed C-0055
[2023-03-28] School_0-00000001 borrowed B-0000
[2023-04-03] School_0-00000083 borrowed A-0002
[2023-04-07] School_1-00000056 borrowed A-0095
[2023-04-08] School_1-00000005 borrowed A-0077
[2023-04-12] School_1-00000040 borrowed C-0080
[2023-04-13] School_0-00000031 smeared B-0084
[2023-04-14] School_0-00000084 lost C-0003
[2023-04-16] School_0-00000065 borrowed B-0087
[2023-04-18] School_1-00000093 borrowed A-0051
[2023-04-18] School_1-00000008 borrowed B-0028
[2023-04-18] School_0-00000017 borrowed C-0099
[2023-04-20] School_0-00000060 lost C-0039
[2023-04-21] School_1-00000092 lost B-0094
[2023-04-22] School_1-00000026 borrowed B-0046
[2023-04-22] School_0-00000062 borrowed B-0003
[2023-04-23] School_0-00000070 returned C-0054
[2023-04-23] School_0-00000036 borrowed C-0054
[2023-04-26] School_0-00000057 borrowed C-0064
[2023-04-27] School_0-00000084 borrowed A-0055
[2023-04-27] School_0-00000047 borrowed A-0002
[2023-04-28] School_0-00000059 lost B-0077
[2023-05-01] School_1-00000017 lost C-0000
[2023-05-02] School_0-00000050 lost C-0038
[2023-05-03] School_1-00000028 borrowed A-0081
[2023-05-05] School_0-00000044 borrowed A-0045
[2023-05-05] School_0-00000036 borrowed C-0056
[2023-05-09] School_1-00000056 borrowed A-0020
[2023-05-10] School_1-00000006 borrowed B-0036
[2023-05-13] School_1-00000086 borrowed C-0078
[2023-05-14] School_0-00000053 borrowed C-0093
[2023-05-14] School_0-00000065 borrowed A-0053
[2023-05-16] School_0-00000016 borrowed A-0076
[2023-05-16] School_1-00000000 smeared C-0047
